ACV,SEX,STATUT,CSP,USAGE,AGECOND,K8000,RM,CAR,CLA,ALI,ENE,VIT,SEGM,CHARGE,GARAGE
9,M,A,CSP_50,PriveTrajet,33,N,68,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
7,M,C,CSP_AUTRE,PriveTrajet,30,N,95,CAR_BERLINE,E,INJ,ES,150-160,B,2668.283384,GarageAutre
7,M,A,CSP_50,PriveTrajet,53,N,50,CAR_BERLINE,E,INJ,ES,160-170,B,0.0,GarageAutre
2,F,A,CSP_50,PriveTrajet,26,N,64,CAR_BERLINE,E,INJ,ES,160-170,A,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,43,N,80,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
9,M,A,CSP_AUTRE,PriveTrajet,60,N,74,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
1,F,C,CSP_50,PriveTrajet,41,O,57,CAR_BERLINE,E,INJ,ES,160-170,A,0.0,ClosCollectif
10,F,C,CSP_50,PriveTrajet,48,N,118,CAR_BERLINE,E,CAR,ES,160-170,B,0.0,IndividuelClos
2,M,A,CSP_AUTRE,Professionnel,81,N,50,CAR_BERLINE,E,INJ,ES,160-170,A,0.0,GarageAutre
10,M,A,CSP_AUTRE,PriveTrajet,71,N,50,CAR_BERLINE,E,CAR,ES,150-160,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,59,O,51,CAR_BERLINE,E,INJ,ES,160-170,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,PriveTrajet,32,N,95,CAR_BERLINE,E,INJ,GO,150-160,B,0.0,GarageAutre
2,F,A,CSP_50,Prive,50,N,50,CAR_BERLINE,E,INJ,ES,160-170,A,0.0,ClosCollectif
2,F,A,CSP_50,Prive,55,O,60,CAR_BERLINE,E,INJ,ES,160-170,B,0.0,ClosCollectif
7,M,A,CSP_AUTRE,PriveTrajet,62,N,50,CAR_BERLINE,E,INJ,ES,160-170,B,0.0,GarageAutre
5,M,A,CSP_AUTRE,Prive,59,N,50,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
10,M,C,CSP_50,Tournees,27,N,58,CAR_BERLINE,E,CAR,ES,160-170,B,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,26,O,60,CAR_BERLINE,E,INJ,GO,150-160,B,0.0,GarageAutre
3,M,A,CSP_50,PriveTrajet,29,N,100,CAR_BERLINE,E,INJ,ES,150-160,A,0.0,GarageAutre
7,F,A,CSP_AUTRE,Prive,41,O,51,CAR_BERLINE,E,INJ,ES,140-150,B,0.0,GarageAutre
9,M,A,CSP_50,PriveTrajet,48,N,80,CAR_BERLINE,E,INJ,ES,160-170,B,0.0,ClosCollectif
10,F,C,CSP_50,Prive,21,N,95,CAR_BERLINE,E,CAR,ES,140-150,B,0.0,GarageAutre
9,F,C,CSP_50,Prive,38,O,56,CAR_BERLINE,E,INJ,ES,160-170,B,0.0,GarageAutre
5,F,C,CSP_50,PriveTrajet,33,N,50,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
9,F,A,CSP_AUTRE,Prive,53,N,50,CAR_BERLINE,E,INJ,ES,140-150,B,0.0,GarageAutre
5,F,A,CSP_60,Prive,60,N,78,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,29,N,90,CAR_BERLINE,E,CAR,ES,150-160,B,0.0,GarageAutre
9,F,C,CSP_50,PriveTrajet,28,O,72,CAR_BERLINE,E,INJ,ES,140-150,A,0.0,GarageAutre
7,M,A,CSP_AUTRE,Professionnel,46,N,50,CAR_BERLINE,E,INJ,ES,140-150,A,0.0,GarageAutre
9,F,A,CSP_AUTRE,Prive,42,O,59,CAR_BERLINE,E,INJ,ES,140-150,A,0.0,ClosCollectif
7,F,A,CSP_50,PriveTrajet,52,N,85,CAR_BERLINE,E,INJ,ES,140-150,B,0.0,GarageAutre
1,F,A,CSP_50,PriveTrajet,46,N,63,CAR_BERLINE,E,INJ,ES,160-170,A,0.0,GarageAutre
7,M,C,CSP_50,Professionnel,43,N,50,CAR_BERLINE,E,INJ,ES,140-150,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,31,N,100,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
10,M,A,CSP_60,Prive,71,O,50,CAR_BERLINE,E,CAR,ES,160-170,B,0.0,GarageAutre
5,M,A,CSP_50,PriveTrajet,47,N,80,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
10,M,C,CSP_50,PriveTrajet,45,N,50,CAR_BERLINE,E,CAR,ES,140-150,B,0.0,GarageAutre
0,M,C,CSP_50,PriveTrajet,38,N,90,CAR_BERLINE,E,INJ,ES,160-170,B,1140.991541,IndividuelClos
5,F,C,CSP_50,PriveTrajet,22,N,100,CAR_BERLINE,E,INJ,ES,150-160,A,0.0,GarageAutre
2,M,C,CSP_50,PriveTrajet,30,N,100,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
4,F,A,CSP_50,Professionnel,36,N,50,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
2,M,A,CSP_60,Prive,85,N,50,CAR_BERLINE,E,INJ,ES,150-160,A,1562.356495,GarageAutre
2,F,A,CSP_AUTRE,PriveTrajet,54,N,125,CAR_BERLINE,E,INJ,ES,160-170,A,0.0,ClosCollectif
5,F,A,CSP_AUTRE,Professionnel,29,N,80,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,28,N,64,CAR_BERLINE,E,CAR,ES,150-160,B,317.702719,GarageAutre
2,M,C,CSP_AUTRE,PriveTrajet,48,N,50,CAR_BERLINE,E,INJ,ES,170-180,A,0.0,ClosCollectif
4,M,C,CSP_AUTRE,PriveTrajet,36,N,68,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
10,M,C,CSP_50,Professionnel,50,N,118,CAR_BERLINE,E,CAR,ES,150-160,B,0.0,GarageAutre
4,F,C,CSP_50,PriveTrajet,23,N,80,CAR_BERLINE,E,INJ,ES,160-170,B,0.0,ClosCollectif
9,F,A,CSP_50,Prive,39,N,50,CAR_BERLINE,E,INJ,ES,150-160,B,0.0,GarageAutre
9,M,A,CSP_50,PriveTrajet,41,N,100,CAR_BERLINE,E,INJ,GO,150-160,B,0.0,GarageAutre
1,M,A,CSP_AUTRE,Professionnel,57,N,50,CAR_BERLINE,E,INJ,ES,160-170,A,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,51,O,50,CAR_BERLINE,F,CAR,ES,160-170,M1,0.0,ClosCollectif
10,F,A,CSP_50,Professionnel,64,N,62,CAR_BERLINE,F,CAR,ES,170-180,M1,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,52,O,50,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
3,F,A,CSP_AUTRE,Prive,53,N,50,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,GarageAutre
2,F,A,CSP_AUTRE,Professionnel,30,N,57,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
2,F,A,CSP_50,PriveTrajet,48,N,64,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
1,F,A,CSP_50,Prive,59,N,50,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
7,F,C,CSP_50,PriveTrajet,26,N,85,CAR_BERLINE,F,INJ,GO,160-170,B,0.0,GarageAutre
7,F,A,CSP_AUTRE,PriveTrajet,31,N,51,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
7,F,C,CSP_50,Professionnel,27,N,72,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
10,F,A,CSP_AUTRE,Prive,51,N,50,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,57,O,50,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
1,F,A,CSP_60,Prive,65,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
0,F,A,CSP_AUTRE,PriveTrajet,54,N,59,CAR_BERLINE,F,INJ,ES,160-170,A,0.0,GarageAutre
2,F,A,CSP_50,Professionnel,42,N,50,CAR_BERLINE,F,INJ,ES,170-180,B,941.5848943,IndividuelClos
2,F,A,CSP_50,Prive,57,N,50,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,ClosCollectif
1,F,A,CSP_60,Prive,73,N,58,CAR_BERLINE,F,INJ,ES,160-170,B,325.4202417,ClosCollectif
3,F,A,CSP_60,Prive,74,N,50,CAR_BERLINE,F,INJ,GO,150-160,B,4948.451964,GarageAutre
7,F,C,CSP_AUTRE,PriveTrajet,25,N,80,CAR_BERLINE,F,INJ,ES,150-160,B,382.0350453,GarageAutre
3,F,C,CSP_50,PriveTrajet,56,O,68,CAR_BERLINE,F,INJ,ES,160-170,B,4326.52568,GarageAutre
2,F,A,CSP_50,PriveTrajet,37,O,50,CAR_BERLINE,F,INJ,ES,150-160,B,367.4601208,GarageAutre
2,F,A,CSP_50,Prive,57,N,50,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,ClosCollectif
5,F,A,CSP_50,PriveTrajet,47,N,132,CAR_BERLINE,F,INJ,ES,170-180,A,0.0,GarageAutre
3,F,A,CSP_50,Prive,56,N,50,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,GarageAutre
2,F,A,CSP_AUTRE,PriveTrajet,60,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,IndividuelClos
10,F,A,CSP_50,Prive,47,N,54,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
2,M,A,CSP_50,PriveTrajet,54,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,M,A,CSP_50,Prive,42,N,112,CAR_BERLINE,F,CAR,ES,170-180,M1,0.0,GarageAutre
10,M,A,CSP_AUTRE,PriveTrajet,62,O,53,CAR_BERLINE,F,CAR,ES,150-160,0,0.0,GarageAutre
2,M,A,CSP_50,PriveTrajet,51,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
3,M,A,CSP_60,Prive,78,N,50,CAR_BERLINE,F,INJ,ES,160-170,A,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,39,N,68,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
7,M,C,CSP_AUTRE,Professionnel,43,N,72,CAR_BERLINE,F,INJ,ES,140-150,A,0.0,GarageAutre
3,M,A,CSP_AUTRE,Prive,34,N,59,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,GarageAutre
9,M,A,CSP_50,Prive,30,O,72,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
4,M,A,CSP_50,PriveTrajet,30,N,85,CAR_BERLINE,F,INJ,ES,170-180,B,328.1891239,GarageAutre
3,M,A,CSP_AUTRE,Prive,29,N,76,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
3,M,A,CSP_AUTRE,Prive,57,N,50,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,GarageAutre
1,M,C,CSP_AUTRE,PriveTrajet,29,N,95,CAR_BERLINE,F,INJ,GO,160-170,M1,0.0,GarageAutre
10,M,A,CSP_50,Prive,53,N,64,CAR_BERLINE,F,CAR,ES,150-160,B,0.0,GarageAutre
2,M,A,CSP_50,PriveTrajet,48,N,50,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
0,M,A,CSP_AUTRE,Professionnel,47,N,85,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
9,M,A,CSP_AUTRE,PriveTrajet,27,N,57,CAR_BERLINE,F,INS,GO,160-170,B,0.0,ClosCollectif
10,M,C,CSP_50,PriveTrajet,27,N,90,CAR_BERLINE,F,INJ,GO,150-160,M1,0.0,GarageAutre
7,M,C,CSP_50,PriveTrajet,28,N,100,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,ClosCollectif
10,M,C,CSP_AUTRE,Prive,43,O,50,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
10,M,A,CSP_AUTRE,Prive,39,N,50,CAR_BERLINE,F,CAR,ES,150-160,B,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,59,N,50,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
7,M,A,CSP_AUTRE,PriveTrajet,38,N,59,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
4,M,C,CSP_50,PriveTrajet,32,N,106,CAR_BERLINE,F,INJ,GO,160-170,B,0.0,GarageAutre
10,M,A,CSP_AUTRE,Prive,54,N,50,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
5,M,A,CSP_50,PriveTrajet,28,N,76,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
0,M,A,CSP_50,PriveTrajet,44,N,85,CAR_BERLINE,F,INJ,ES,160-170,A,0.0,GarageAutre
3,M,A,CSP_60,Prive,64,N,50,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
3,M,C,CSP_50,PriveTrajet,34,N,95,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,IndividuelClos
4,M,C,CSP_50,PriveTrajet,33,N,76,CAR_BERLINE,F,INJ,ES,180-190,B,0.0,GarageAutre
9,M,A,CSP_AUTRE,Prive,29,N,90,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,27,N,85,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
9,M,C,CSP_50,Prive,44,N,90,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,M,A,CSP_50,PriveTrajet,58,N,50,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
7,M,A,CSP_50,Prive,42,N,80,CAR_BERLINE,F,INJ,ES,160-170,M1,0.0,ClosCollectif
1,M,A,CSP_60,Prive,74,N,90,CAR_BERLINE,F,INJ,ES,160-170,A,1506.648943,GarageAutre
5,M,C,CSP_AUTRE,PriveTrajet,35,N,72,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,31,N,106,CAR_BERLINE,F,INS,GO,150-160,M1,0.0,GarageAutre
10,F,A,CSP_50,Prive,49,O,50,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
4,F,A,CSP_50,Prive,27,O,100,CAR_BERLINE,F,INJ,GO,150-160,A,0.0,ClosCollectif
3,F,C,CSP_AUTRE,PriveTrajet,27,N,139,CAR_BERLINE,F,INJ,ES,150-160,A,802.5280967,GarageAutre
9,F,A,CSP_AUTRE,Prive,33,O,72,CAR_BERLINE,F,INJ,ES,140-150,A,0.0,ClosCollectif
3,F,A,CSP_AUTRE,PriveTrajet,46,N,57,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
5,F,C,CSP_AUTRE,PriveTrajet,23,N,76,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
5,F,C,CSP_50,PriveTrajet,41,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,1691.032931,GarageAutre
2,F,A,CSP_AUTRE,PriveTrajet,61,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,47,O,90,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,45,N,50,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
3,F,A,CSP_50,Prive,48,N,50,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
5,F,A,CSP_50,Prive,51,N,78,CAR_BERLINE,F,INJ,GO,150-160,B,1418.610272,GarageAutre
10,F,A,CSP_60,Prive,60,O,50,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,IndividuelClos
7,F,A,CSP_60,Prive,80,N,72,CAR_BERLINE,F,INJ,ES,160-170,B,897.6480363,GarageAutre
3,F,C,CSP_AUTRE,PriveTrajet,29,N,112,CAR_BERLINE,F,INJ,ES,150-160,B,1597.633233,ClosCollectif
4,F,C,CSP_50,PriveTrajet,39,N,50,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,IndividuelClos
4,F,C,CSP_50,Prive,57,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,F,C,CSP_60,Prive,75,O,50,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
10,F,C,CSP_60,Prive,78,N,50,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
9,F,C,CSP_60,Prive,78,O,50,CAR_BERLINE,F,INJ,ES,160-170,M1,0.0,GarageAutre
0,F,A,CSP_AUTRE,Professionnel,55,N,64,CAR_BERLINE,F,INJ,ES,160-170,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,70,N,50,CAR_BERLINE,F,CAR,ES,150-160,M1,0.0,GarageAutre
7,F,A,CSP_50,Prive,39,O,80,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,IndividuelClos
2,F,A,CSP_50,PriveTrajet,62,N,50,CAR_BERLINE,F,INJ,ES,150-160,M1,0.0,GarageAutre
7,F,A,CSP_50,PriveTrajet,34,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
2,F,C,CSP_50,PriveTrajet,54,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,37,N,90,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
1,F,C,CSP_60,Prive,62,N,125,CAR_BERLINE,F,INJ,ES,160-170,B,922.1673716,GarageAutre
2,F,A,CSP_AUTRE,Professionnel,69,N,68,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,59,O,50,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
2,F,A,CSP_50,PriveTrajet,28,N,95,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
1,F,A,CSP_50,Professionnel,54,N,50,CAR_BERLINE,F,INJ,ES,160-170,A,0.0,GarageAutre
2,F,A,CSP_50,Prive,69,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
3,F,A,CSP_50,PriveTrajet,30,O,100,CAR_BERLINE,F,INJ,ES,170-180,B,1418.610272,GarageAutre
3,F,A,CSP_60,Prive,63,N,51,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
2,F,A,CSP_60,Prive,79,N,50,CAR_BERLINE,F,INJ,ES,150-160,B,176.3954683,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,23,N,85,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
3,F,C,CSP_AUTRE,PriveTrajet,22,N,90,CAR_BERLINE,F,INJ,ES,160-170,A,165.0253776,GarageAutre
10,F,C,CSP_AUTRE,Prive,35,N,95,CAR_BERLINE,F,CAR,ES,150-160,B,0.0,ClosCollectif
10,F,C,CSP_50,PriveTrajet,27,N,85,CAR_BERLINE,F,CAR,ES,160-170,M1,0.0,GarageAutre
3,F,C,CSP_50,Professionnel,32,N,60,CAR_BERLINE,F,INJ,ES,140-150,A,0.0,GarageAutre
2,F,C,CSP_50,Prive,31,N,90,CAR_BERLINE,F,INJ,GO,150-160,A,0.0,IndividuelClos
10,F,A,CSP_50,Prive,29,N,90,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,29,N,95,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
4,F,A,CSP_50,PriveTrajet,42,N,64,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
5,F,A,CSP_50,PriveTrajet,42,N,58,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
5,F,A,CSP_50,PriveTrajet,57,N,62,CAR_BERLINE,F,INJ,ES,160-170,B,1674.52568,GarageAutre
10,F,A,CSP_60,Prive,82,N,50,CAR_BERLINE,F,CAR,ES,150-160,M1,0.0,GarageAutre
4,F,A,CSP_60,Prive,73,N,77,CAR_BERLINE,F,INJ,ES,160-170,B,4326.52568,GarageAutre
4,F,C,CSP_50,PriveTrajet,27,N,64,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
4,F,A,CSP_50,PriveTrajet,31,N,50,CAR_BERLINE,F,INJ,ES,140-150,A,0.0,GarageAutre
2,F,A,CSP_50,Prive,48,O,50,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,GarageAutre
5,F,A,CSP_50,PriveTrajet,49,N,65,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,40,N,95,CAR_BERLINE,F,INJ,ES,160-170,M1,0.0,ClosCollectif
1,F,A,CSP_AUTRE,Prive,41,N,95,CAR_BERLINE,F,INJ,ES,160-170,A,4326.52568,GarageAutre
5,F,A,CSP_50,Prive,62,N,50,CAR_BERLINE,F,INJ,ES,160-170,M1,0.0,GarageAutre
9,F,A,CSP_AUTRE,Prive,33,N,95,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,25,N,80,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
9,F,C,CSP_50,Prive,38,N,85,CAR_BERLINE,F,INJ,ES,140-150,B,0.0,GarageAutre
1,F,C,CSP_60,Prive,71,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,34,N,55,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
9,F,A,CSP_50,PriveTrajet,58,N,62,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
7,F,A,CSP_50,Prive,32,N,72,CAR_BERLINE,F,INJ,ES,140-150,A,0.0,GarageAutre
10,F,A,CSP_50,Prive,31,N,90,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
2,F,A,CSP_50,PriveTrajet,27,N,100,CAR_BERLINE,F,INJ,ES,160-170,B,1418.610272,GarageAutre
7,F,A,CSP_50,Professionnel,29,N,60,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,IndividuelClos
9,F,A,CSP_50,PriveTrajet,29,N,60,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,ClosCollectif
10,F,A,CSP_50,Prive,25,N,68,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,ClosCollectif
5,F,A,CSP_60,Prive,81,N,77,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,28,N,90,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
10,F,C,CSP_AUTRE,PriveTrajet,25,N,95,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,33,N,90,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,41,N,85,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
4,F,C,CSP_50,Professionnel,28,N,95,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
2,F,C,CSP_50,Professionnel,29,N,100,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
9,F,C,CSP_50,Prive,30,O,51,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
10,F,C,CSP_50,PriveTrajet,38,N,72,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,GarageAutre
0,F,C,CSP_50,PriveTrajet,32,N,95,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,ClosCollectif
1,F,C,CSP_50,PriveTrajet,36,N,90,CAR_BERLINE,F,INJ,ES,160-170,B,2742.948943,ClosCollectif
5,F,C,CSP_50,PriveTrajet,41,N,76,CAR_BERLINE,F,INJ,ES,160-170,B,63.1305136,GarageAutre
10,F,C,CSP_50,Prive,34,N,90,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
10,F,C,CSP_50,Professionnel,29,N,64,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,42,N,95,CAR_BERLINE,F,CAR,ES,150-160,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,40,N,85,CAR_BERLINE,F,CAR,ES,170-180,M1,0.0,GarageAutre
7,F,A,CSP_50,Prive,38,N,76,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,ClosCollectif
2,F,A,CSP_50,PriveTrajet,46,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
5,F,A,CSP_50,Prive,51,O,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
2,F,A,CSP_50,Professionnel,51,N,50,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,GarageAutre
4,F,A,CSP_50,PriveTrajet,34,N,50,CAR_BERLINE,F,INJ,ES,170-180,A,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,30,N,85,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
7,F,A,CSP_50,PriveTrajet,45,N,80,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,GarageAutre
5,F,A,CSP_50,PriveTrajet,30,N,51,CAR_BERLINE,F,INJ,GO,160-170,B,4326.52568,GarageAutre
10,F,A,CSP_AUTRE,PriveTrajet,43,N,50,CAR_BERLINE,F,INJ,GO,150-160,B,0.0,ClosCollectif
5,F,A,CSP_60,Prive,67,N,50,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,ClosCollectif
7,F,A,CSP_60,Prive,64,N,50,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
3,F,C,CSP_AUTRE,PriveTrajet,24,N,85,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,IndividuelClos
10,F,C,CSP_50,Prive,28,N,90,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
10,F,C,CSP_50,Professionnel,35,N,50,CAR_BERLINE,F,CAR,ES,170-180,B,148.7655589,ClosCollectif
1,F,C,CSP_50,PriveTrajet,30,N,95,CAR_BERLINE,F,INJ,ES,150-160,B,0.0,ClosCollectif
2,F,C,CSP_50,Professionnel,37,N,64,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,GarageAutre
1,F,C,CSP_50,PriveTrajet,48,N,106,CAR_BERLINE,F,INJ,ES,150-160,A,0.0,GarageAutre
7,F,C,CSP_50,Prive,42,N,72,CAR_BERLINE,F,INJ,ES,160-170,B,0.0,ClosCollectif
4,F,C,CSP_50,PriveTrajet,33,N,54,CAR_BERLINE,F,INJ,ES,170-180,B,0.0,GarageAutre
3,F,C,CSP_50,Professionnel,38,N,57,CAR_BERLINE,F,INJ,ES,180-190,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,29,N,76,CAR_BERLINE,F,CAR,ES,150-160,M1,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,32,N,85,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,43,N,50,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
10,F,A,CSP_50,PriveTrajet,56,O,50,CAR_BERLINE,F,CAR,ES,160-170,B,0.0,GarageAutre
10,F,A,CSP_50,Prive,36,N,51,CAR_BERLINE,F,CAR,ES,170-180,B,0.0,GarageAutre
